ID,Name,Gender,Age,Rating,Degree,Start_Date,Retired,Division,Salary
6881,"al-Rahimi, Tayyiba",Female,51,10,High School,2/23/1990,FALSE,Operations,"$108,804"
2671,"Lewis, Austin",Male,34,4,Ph.D,2/23/2007,FALSE,Engineering,"$182,343"
8925,"el-Jaffer, Manaal",Female,50,10,Master's,2/23/1991,FALSE,Engineering,"$206,770"
2769,"Soto, Michael",Male,52,10,High School,2/23/1987,FALSE,Sales,"$183,407"
2658,"al-Ebrahimi, Mamoon",Male,55,8,Ph.D,2/23/1985,FALSE,Corporate,"$236,240"
1933,"Medina, Brandy",Female,62,7,Associate's,2/23/1979,TRUE,Sales,
3570,"Troftgruben, Tierra",Female,47,8,High School,2/23/1995,FALSE,Operations,"$101,138"
7821,"Holleman, Shaquaisha",Female,43,8,Master's,2/23/1999,FALSE,Human Resources,"$149,468"
3256,"Oliver, Seth",Male,27,7,Associate's,2/23/2014,FALSE,Operations,"$74,188"
6222,"Alarid, Kimberly",Female,30,6,High School,2/23/2012,FALSE,Operations,"$110,078"
9259,"Armantrout, Allison",Female,61,7,Associate's,2/23/1980,TRUE,Operations,
7068,"Dimas, Roman",Male,25,8,High School,2/23/2017,FALSE,Operations,"$84,252"
6496,"Bell, Jerald",Male,42,2,Associate's,2/23/2000,FALSE,Operations,"$83,235"
5915,"Rogers, Arielle",Female,27,2,Bachelor's,2/23/2013,FALSE,Human Resources,"$79,183"
9871,"Sontag, Taylor",Female,30,7,Ph.D,2/23/2011,FALSE,Engineering,"$164,384"
2828,"el-Ullah, Saabira",Female,42,5,Bachelor's,2/23/1999,FALSE,Sales,"$138,973"
9935,"Cranmer, Patrick",Male,63,8,High School,2/23/1978,FALSE,Operations,"$146,972"
2836,"Ochoa, Luis",Male,41,7,Bachelor's,2/23/1999,FALSE,Corporate,"$152,011"
2687,"Benavidez, Juan",Male,45,8,Ph.D,2/23/1997,FALSE,Engineering,"$181,924"
6814,"Rangel, Zackary",Male,36,10,Master's,2/23/2004,FALSE,Human Resources,"$152,002"
1874,"Uhlman, Emma",Female,48,3,Associate's,2/23/1994,FALSE,Operations,"$111,187"
5389,"el-Ibrahim, Isaam",Male,34,8,Bachelor's,2/23/2007,FALSE,Sales,"$152,440"
5066,"Lucero, Kashmir",Female,52,8,High School,2/23/1989,FALSE,Operations,"$167,429"
8789,"Wang, Alexander",Male,27,7,Associate's,2/23/2014,FALSE,Operations,"$113,297"
3547,"Hahn, Alexander",Male,57,7,Bachelor's,2/23/1983,FALSE,Engineering,"$206,328"
